[2026-04-13T08:05:26.497Z] GET http://localhost:3000/shared/characters.js → 200 (6ms, 15130B)
[2026-04-13T08:05:26.497Z] GET http://localhost:3000/shared/narrator.js → 200 (18ms, 10357B)
[2026-04-13T08:05:26.497Z] GET http://localhost:3000/shared/sound.js → 200 (21ms, 9091B)
[2026-04-13T08:05:26.497Z] GET http://localhost:3000/shared/hud.js → 200 (28ms, 5293B)
[2026-04-13T08:05:26.499Z] GET http://localhost:3000/shared/effects.js → 200 (29ms, 9474B)
[2026-04-13T08:05:26.499Z] GET http://localhost:3000/shared/transitions.js → 200 (26ms, 1940B)
[2026-04-13T08:05:26.499Z] GET http://localhost:3000/shared/tournament.js → 200 (27ms, 6808B)
[2026-04-13T08:05:26.499Z] GET http://localhost:3000/host-hill/render2d.js → 200 (28ms, 7736B)
[2026-04-13T08:05:26.499Z] GET http://localhost:3000/host-hill/main.js → 200 (28ms, 8201B)
[2026-04-13T08:05:45.269Z] GET http://localhost:3000/host/ → 200 (4ms, 7820B)
[2026-04-13T08:05:45.288Z] GET http://localhost:3000/shared/narrator.js → 200 (4ms, 10357B)
[2026-04-13T08:05:45.288Z] GET http://localhost:3000/shared/sound.js → 200 (14ms, 9091B)
[2026-04-13T08:05:45.288Z] GET http://localhost:3000/shared/transitions.js → 200 (16ms, 1940B)
[2026-04-13T08:05:45.288Z] GET http://localhost:3000/shared/tournament.js → 200 (19ms, 6808B)
[2026-04-13T08:05:45.289Z] GET http://localhost:3000/host/main.js → 200 (19ms, 6754B)
[2026-04-13T08:05:45.718Z] GET http://localhost:3000/host-hill/ → 200 (1ms, 4314B)
[2026-04-13T08:05:45.730Z] GET http://localhost:3000/shared/characters.js → 200 (3ms, 15130B)
[2026-04-13T08:05:45.730Z] GET http://localhost:3000/shared/narrator.js → 200 (6ms, 10357B)
[2026-04-13T08:05:45.730Z] GET http://localhost:3000/shared/sound.js → 200 (10ms, 9091B)
[2026-04-13T08:05:45.730Z] GET http://localhost:3000/shared/hud.js → 200 (9ms, 5293B)
[2026-04-13T08:05:45.730Z] GET http://localhost:3000/shared/effects.js → 200 (10ms, 9474B)
[2026-04-13T08:05:45.731Z] GET http://localhost:3000/shared/transitions.js → 200 (8ms, 1940B)
[2026-04-13T08:05:45.731Z] GET http://localhost:3000/shared/tournament.js → 200 (9ms, 6808B)
[2026-04-13T08:05:45.731Z] GET http://localhost:3000/host-hill/render2d.js → 200 (9ms, 7736B)
[2026-04-13T08:05:45.731Z] GET http://localhost:3000/host-hill/main.js → 200 (12ms, 8201B)
